alchemist_acid_spray,Acid Spray
alchemist_chemical_rage,Chemical Rage
alchemist_goblins_greed,Goblin's Greed
alchemist_unstable_concoction,Unstable Concoction
alchemist_unstable_concoction_throw,Unstable Concoction (Throw)
alpha_wolf_command_aura,Command Aura (Alpha Wolf)
alpha_wolf_critical_strike,Critical Strike (Alpha Wolf)
ancient_apparition_chilling_touch,Chilling Touch
ancient_apparition_cold_feet,Cold Feet
ancient_apparition_ice_blast,Ice Blast
ancient_apparition_ice_blast_release,Ice Blast (Release)
ancient_apparition_ice_vortex,Ice Vortex
antimage_blink,Blink (AM)
antimage_mana_break,Mana Break
antimage_mana_void,Mana Void
antimage_spell_shield,Spell Shield
attribute_bonus,Attribute Bonus
axe_battle_hunger,Battle Hunger
axe_berserkers_call,Berserker's Call
axe_counter_helix,Counter Helix
axe_culling_blade,Culling Blade
backdoor_protection,Backdoor Protection
backdoor_protection_in_base,Backdoor Protection (Base)
bane_brain_sap,Brain Sap
bane_enfeeble,Enfeeble
bane_fiends_grip,Fiend's Grip
bane_nightmare,Nightmare
base,Base
batrider_firefly,Firefly
batrider_flamebreak,Flame Break
batrider_flaming_lasso,Flaming Lasso
batrider_sticky_napalm,Sticky Napalm
beastmaster_boar_poison,Poison (Boar)
beastmaster_call_of_the_wild,Call of the Wild
beastmaster_greater_boar_poison,Greater Poison (Greater Boar)
beastmaster_hawk_invisibility,Invisibility (Hawk)
beastmaster_inner_beast,Inner Beast
beastmaster_primal_roar,Primal Roar
beastmaster_wild_axes,Wild Axes
big_thunder_lizard_frenzy,Frenzy (Thunder Lizard)
big_thunder_lizard_slam,Slam (Thunder Lizard)
black_dragon_splash_attack,Splash Attack (Black Dragon)
bloodseeker_blood_bath,Blood Bath
bloodseeker_bloodrage,Bloodrage
bloodseeker_rupture,Rupture
bloodseeker_thirst,Thirst
blue_dragonspawn_overseer_devotion_aura,Devotion Aura (Dragonspawn Overseer)
blue_dragonspawn_overseer_evasion,Evasion (Dragonspawn Overseer)
blue_dragonspawn_sorcerer_evasion,Evasion (Dragonspawn Sorcerer)
bold_taskmaster_speed_aura,Speed Aura
bounty_hunter_jinada,Jinada
bounty_hunter_shuriken_toss,Shuriken Toss
bounty_hunter_track,Track
bounty_hunter_wind_walk,Wind Walk
brewmaster_drunken_brawler,Drunken Brawler
brewmaster_drunken_haze,Drunken Haze
brewmaster_earth_hurl_boulder,Hurl Boulder (Earth Panda)
brewmaster_earth_pulverize,Pulverize (Earth Panda)
brewmaster_earth_spell_immunity,Spell Immunity (Earth Panda)
brewmaster_fire_permanent_immolation,Permanent Immolation
brewmaster_primal_split,Primal Split
brewmaster_storm_cyclone,Cyclone (Storm Panda)
brewmaster_storm_dispel_magic,Dispel Magic (Storm Panda)
brewmaster_storm_wind_walk,Wind Walk (Storm Panda)
brewmaster_thunder_clap,Thunder Clap
broodmother_incapacitating_bite,Incapacitating Bite
broodmother_insatiable_hunger,Insatiable Hunger
broodmother_poison_sting,Poison Sting (Spiderling)
broodmother_spawn_spiderite,Spawn Spiderite
broodmother_spawn_spiderlings,Spawn Spiderlings
broodmother_spin_web,Spin Web
centaur_khan_war_stomp,War Stomp (Neutral)
centaur_khan_endurance_aura,Endurance Aura
chaos_knight_chaos_bolt,Chaos Bolt
chaos_knight_chaos_strike,Chaos Strike
chaos_knight_phantasm,Phantasm
chaos_knight_reality_rift,Reality Rift
chen_hand_of_god,Hand of God
chen_holy_persuasion,Holy Persuasion
chen_penitence,Penitence
chen_test_of_faith,Test of Faith
clinkz_death_pact,Death Pact
clinkz_searing_arrows,Searing Arrows
clinkz_strafe,Strafe
clinkz_wind_walk,Wind walk
courier_burst,Speed Burst
courier_go_to_secretshop,Go to Secret Shop
courier_return_stash_items,Return to stash items
courier_return_to_base,Return to Base
courier_shield,Shield
courier_take_stash_items,Stash Items
courier_transfer_items,Transfer Items
crystal_maiden_brilliance_aura,Brilliance Aura
crystal_maiden_crystal_nova,Crystal Nova
crystal_maiden_freezing_field,Freezing Field
crystal_maiden_frostbite,Frostbite
dark_seer_ion_shell,Ion Shell
dark_seer_surge,Surge
dark_seer_vacuum,Vacuum
dark_seer_wall_of_replica,Wall of Replica
dark_troll_warlord_ensnare,Ensnare (Troll)
dark_troll_warlord_raise_dead,Raise Dead
dazzle_poison_touch,Poison Touch
dazzle_shadow_wave,Shadow Wave
dazzle_shallow_grave,Shallow Grave
dazzle_weave,Weave
death_prophet_carrion_swarm,Carrion Swarm
death_prophet_exorcism,Exorcism
death_prophet_silence,Silence
death_prophet_witchcraft,Witchcraft
default_attack,Default Attack
doom_bringer_devour,Devour
doom_bringer_doom,Doom
doom_bringer_empty,Empty
doom_bringer_lvl_death,Lvl? Death
doom_bringer_scorched_earth,Scorched Earth
dota_fountain,Fountain
dota_unknown,Unknown
dragon_knight_breathe_fire,Breathe Fire
dragon_knight_dragon_blood,Dragon Blood
dragon_knight_dragon_tail,Dragon Tail
dragon_knight_elder_dragon_form,Elder Dragon Form
dragon_knight_frost_breath,Frost Breath
drow_ranger_frost_arrows,Frost Arrows
drow_ranger_marksmanship,Marksmanship
drow_ranger_silence,Silence
drow_ranger_trueshot,True Shot
earthshaker_aftershock,Aftershock
earthshaker_echo_slam,Echo Slam
earthshaker_enchant_totem,Enchant Totem
earthshaker_fissure,Fissure
enchantress_enchant,Enchant
enchantress_impetus,Impetus
enchantress_natures_attendants,Nature's Attendants
enchantress_untouchable,Untouchable
enigma_black_hole,Black hole
enigma_demonic_conversion,Demonic Conversion
enigma_malefice,Malefice
enigma_midnight_pulse,Midnight Pulse
enraged_wildkin_tornado,Tornado
enraged_wildkin_toughness_aura,Toughness Aura
faceless_void_backtrack,Backtrack
faceless_void_chronosphere,Chronosphere
faceless_void_time_walk,Time Walk
forest_troll_high_priest_heal,Heal (Priest)
forged_spirit_melting_strike,Melting Strike
furion_force_of_nature,Force of Nature
furion_sprout,Sprout
furion_teleportation,Teleportation
furion_wrath_of_nature,Wrath of Nature
ghost_frost_attack,Frost Attack
giant_wolf_critical_strike,Critical Strike (Giant Wolf)
gnoll_assassin_envenomed_weapon,Envenomed Weapon damage
gyrocopter_call_down,Call Down
gyrocopter_flak_cannon,Flak Cannon
gyrocopter_homing_missile,Homing Missile
gyrocopter_rocket_barrage,Rocket Barrage
harpy_storm_chain_lightning,Chain Lightning (Harpy)
huskar_berserkers_blood,Berserker's Blood
huskar_burning_spear,Burning Spear
huskar_inner_vitality,Inner Vitality
huskar_life_break,Life Break
invoker_alacrity,Alacrity
invoker_chaos_meteor,Chaos Meteor
invoker_cold_snap,Cold Snap
invoker_deafening_blast,Deafening Blast
invoker_emp,EMP
invoker_empty1,Empty #1
invoker_empty2,Empty #2
invoker_exort,Exort
invoker_forge_spirit,Forge Spirit
invoker_ghost_walk,Ghost Walk
invoker_ice_wall,Ice Wall
invoker_invoke,Invoke
invoker_quas,Quas
invoker_sun_strike,Sun Strike
invoker_tornado,Tornado
invoker_wex,Wex
item_armlet,Armlet HP Modifier
item_dagon,Dagon
item_diffusal_blade,Diffusal Blade Purge
item_diffusal_blade_2,Diffusal Blade 2
item_hand_of_midas,Hand of Midas
item_helm_of_the_dominator,Helm of the Dominator
item_lifesteal,Lifesteal (item)
item_maelstrom,Maelstrom lightning
item_magic_stick,Magic Stick Heal
item_magic_wand,Magic Wand Heal
item_mask_of_madness,Mask of Madness
item_mekansm,Mekansm
item_mjollnir,Mjollnir lightning
item_orchid,Orchid Damage
item_radiance,Radiance
item_satanic,Satanic
item_sheepstick,Scythe of Vyse
item_urn_of_shadows,Urn of Shadows
item_vladmir,Vladmir
jakiro_dual_breath,Dual Breath
jakiro_ice_path,Ice Path
jakiro_liquid_fire,Liquid Fire
jakiro_macropyre,Macropyre
juggernaut_blade_dance,Blade Dance
juggernaut_blade_fury,Bladefury
juggernaut_healing_ward,Healing Ward
juggernaut_omni_slash,Omnislash
kunkka_ghostship,Ghost ship
kunkka_return,Return
kunkka_tidebringer,Tidebringer
kunkka_torrent,Torrent
kunkka_x_marks_the_spot,X Marks the Spot
leshrac_diabolic_edict,Diabolic Edict
leshrac_lightning_storm,Lightning Storm
leshrac_pulse_nova,Pulse Nova
leshrac_split_earth,Split Earth
lich_chain_frost,Chain Frost
lich_dark_ritual,Dark Ritual
lich_frost_armor,Frost Armor
lich_frost_nova,Frost Nova
life_stealer_consume,Consume
life_stealer_feast,Feast
life_stealer_infest,Infest
life_stealer_rage,Rage
lina_dragon_slave,Dragon Slave
lina_fiery_soul,Fiery Soul
lina_laguna_blade,Laguna Blade
lina_light_strike_array,Light Strike Array
lion_finger_of_death,Finger of Death
lion_impale,Impale
lion_mana_drain,Mana Drain
lion_voodoo,Voodoo
lone_druid_rabid,Rabid
lone_druid_spirit_bear,Summon Bear
lone_druid_spirit_bear_demolish,Demolish
lone_druid_spirit_bear_entangle,Entangle
lone_druid_spirit_bear_return,Return
lone_druid_synergy,Sinergy
lone_druid_true_form,True Form
lone_druid_true_form_battle_cry,Battle Cry (Bear Form)
luna_eclipse,Eclipse
luna_lucent_beam,Lucent Beam
luna_lunar_blessing,Lunar Blessing
luna_moon_glaive,Moon Glaive
lycan_feral_impulse,Feral Impulse
lycan_howl,Howl
lycan_shapeshift,Shapeshift
lycan_summon_wolves,Wolves
lycan_summon_wolves_critical_strike,Critical Strike (Wolves)
lycan_summon_wolves_invisibility,Invisibility (Wolves)
meepo_divided_we_stand,Divided We Stand
meepo_earthbind,Earthbind
meepo_geostrike,Geostrike
meepo_poof,Poof
mirana_arrow,Mirana's Arrow
mirana_invis,Moonlight Shadow
mirana_leap,Leap
mirana_starfall,Starfall
modifier_axe_battle_hunger,Battle Hunger debuff
modifier_axe_battle_hunger_self,Battle Hunger buff
modifier_axe_berserkers_call,Berserker's call debuff
modifier_axe_berserkers_call_armor,Berserker's call
modifier_axe_culling_blade_boost,Culling Blade Movespeed Buff
modifier_black_king_bar_immune,Black King Bar Immunity
modifier_bloodseeker_bloodrage,Bloodrage debuff
modifier_bloodseeker_rupture,Rupture debuff
modifier_bloodseeker_thirst_speed,Thirst Movespeed Buff
modifier_boots_of_travel_incoming,Boots of Travel TP Buff
modifier_bottle_regeneration,Bottle Heal/Regen
modifier_brewmaster_drunken_brawler,Drunken Brawler Debuff
modifier_brewmaster_drunken_haze,Drunken Haze Debuff
modifier_brewmaster_fire_permanent_immolation,Permanent Immolation Buff
modifier_brewmaster_primal_split_duration,Primal Split Transformation
modifier_brewmaster_storm_cyclone,Cyclone (Brewmaster)
modifier_brewmaster_thunder_clap,Thunder Clap (Brewmaster)
modifier_broodmother_incapacitating_bite_orb,Incapacitating Bite Debuff
modifier_broodmother_insatiable_hunger,Insatiable Hunger buff
